,nombre,ranking_actual,puntos_wpt,p_jugados,p_ganados,p_perdidos,efectividad,vict_consecutivas,companero_actual,posicion_juego,lugar_nacimiento,fecha_nacimiento,altura,lugar_residencia,url,reference_date
445,Álvaro Pérez Gas,568,1,4,1,3,25,1,Víctor Cava Canals,Drive,Alicante,24/11/2001,"1,70",Alicante,https://www.worldpadeltour.com/jugadores/alvaro-perez-gas/,05/04/2021
446,Laurent Montoisy ,358,6,5,3,2,60,2,Ignacio González Torres,Drive,Bruselas - Bélgica,29/05/1987,"1,95",Bruselas - Bélgica,https://www.worldpadeltour.com/jugadores/laurent-montoisy/,05/04/2021
447,Walter Imbert ,591,1,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/walter-imbert/,05/04/2021
448,Juan Ramiro Cardos Correa ,379,5,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/juan-ramiro-cardos-correa/,05/04/2021
449,Nicolo Cotto ,350,7,0,0,0,0,0,Alessandro Tinti,Drive,Biella,16/08/1982,1.80,Monza,https://www.worldpadeltour.com/jugadores/nicolo-cotto/,05/04/2021
450,Lorenzo Rossi Tani,271,20,16,5,11,"31,25",2,Daniele Cattaneo,Revés,Roma,17/03/1993,"1,89",Roma - Italia,https://www.worldpadeltour.com/jugadores/lorenzo-rossi-tani/,05/04/2021
451,Jose Mena Macias,320,10,0,0,0,0,1,Karlos Rodríguez Vidal,Drive,Malaga,23/05/2002,"1,80",Malaga,https://www.worldpadeltour.com/jugadores/jose-mena-macias/,05/04/2021
452,Kristopher Sotiriu ,375,5,1,0,1,0,0,Matthias Ederer,,,14/02/1986,,,https://www.worldpadeltour.com/jugadores/kristopher-sotiriu/,05/04/2021
453,Julio Cesar Julianoti ,223,40,5,2,3,40,2,Stefano Flores,Drive,Porto Alegre - Bra,09/02/1989,"1,83",Porto Alegre - Bra,https://www.worldpadeltour.com/jugadores/julio-cesar-julianoti/,05/04/2021
454,Victor Tur Checa,432,3,0,0,0,0,0,Miguel Miñano Ortinez,Revés,Ibiza,21/02/2004,"1,77",Barcelona,https://www.worldpadeltour.com/jugadores/victor-tur-checa/,05/04/2021
455,Antonio María Nogueira ,375,5,12,2,10,"16,67",1,Pedro Araújo,Drive,Porto - Portugal,06/11/1989,"1,73",Porto - Portugal,https://www.worldpadeltour.com/jugadores/antonio-maria-nogueira/,05/04/2021
456,Alejandro Moya Rodríguez ,294,14,1,0,1,0,0,Gonzalo Pérez Arbona,Revés,Madrid,17/12/1996,182cm/ 71kg,Madrid,https://www.worldpadeltour.com/jugadores/alejandro-moya-rodriguez/,05/04/2021
457,Belar Vera Lopez,316,11,0,0,0,0,1,Arnau Riba Corbella,Revés,Barcelona,17/09/2003,"1,78",Barcelona,https://www.worldpadeltour.com/jugadores/belar-vera-lopez/,05/04/2021
458,Marco Cassetta ,285,16,1,0,1,0,1,Emanuele Fanti,Revés,Torino,27/05/1999,1.82,Torino,https://www.worldpadeltour.com/jugadores/marco-cassetta/,05/04/2021
459,Fernando Domínguez Cruz,304,12,0,0,0,0,1,Luís Ortega Pérez,Revés,Marbella ,05/03/2001,1.75 ,Marbella ,https://www.worldpadeltour.com/jugadores/fernando-dominguez-cruz/,05/04/2021
460,Pablo Suarez Ferazzi ,277,20,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/pablo-suarez-ferazzi/,05/04/2021
461,Juan Ignacio Artía Malugani ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/juan-ignacio-artia-malugani/,05/04/2021
462,Sergio Gonzalez Martínez ,251,27,10,2,8,20,1,Juan Carlos Diaz Martin,Drive,Valladolid ,17/08/2000,"1,68",Valladolid ,https://www.worldpadeltour.com/jugadores/sergio-gonzalez-martinez/,05/04/2021
463,Andrea Apside ,591,1,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/andrea-apside/,05/04/2021
464,Rubén Álamo Cruz,532,2,6,2,4,"33,33",1,Rafael Moreno Negrin,Revés,Las Palmas de Gran Canaria,22/11/1981,"1,82",Las Palmas,https://www.worldpadeltour.com/jugadores/ruben-alamo-cruz/,05/04/2021
465,Marco Brunetti ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/marco-brunetti/,05/04/2021
466,Ramiro Pereyra ,234,34,14,7,7,50,4,Martín Andornino,Revés,Mar del Plata - Arg,15/05/1996,"1,75",Mar del Plata - Arg,https://www.worldpadeltour.com/jugadores/ramiro-pereyra/,05/04/2021
467,Peter Bruijsten ,338,8,8,0,8,0,0,Sido Nijholt,Revés,Almelo - Holanda,09/05/1983,"1,85",Oldenzaal - Holanda,https://www.worldpadeltour.com/jugadores/peter-bruijten/,05/04/2021
468,Ismael Rodriguez Mazario,375,5,1,0,1,0,0,Francisco Jurado Sosa,Drive,Madrid,27/03/2003,"1,85",Madrid,https://www.worldpadeltour.com/jugadores/ismael-rodriguez-mazario/,05/04/2021
469,Thomas Mitjana ,412,4,2,1,1,50,1,Yann Auradou,Revés,Saint-Germain-en-Laye,26/06/1991,1m75,Crespieres,https://www.worldpadeltour.com/jugadores/thomas-mitjana/,05/04/2021
470,Raúl Pérez Acosta,209,51,41,14,27,"34,15",4,Guillermo Lahoz Rodríguez,Drive,Tenerife,22/11/1978,"1,72",Tenerife,https://www.worldpadeltour.com/jugadores/raul-perez-acosta/,05/04/2021
471,Dean Mcfarlane ,544,2,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/dean-mcfarlane/,05/04/2021
472,Alberto Micali ,591,1,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/alberto-micali/,05/04/2021
473,Andres Esquiliano Peralta ,591,1,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/andres-esquiliano-peralta/,05/04/2021
474,Marcelo Capitani ,267,22,124,55,69,"44,35",5,Alfonso Viuda Hernández,Revés,Santa Fe - Arg,30/05/1975,"1,70",Pamplona,https://www.worldpadeltour.com/jugadores/marcelo-capitani/,05/04/2021
475,Daniele Cattaneo ,237,33,13,4,9,"30,77",1,Simone Cremona,Revés,Vimercate - Italia,10/09/1989,"1,87",Genova - Italia,https://www.worldpadeltour.com/jugadores/daniele-cattaneo/,05/04/2021
476,Enrique Lagarejos Blanco,375,5,153,84,69,"54,9",5,Jaime Muñoz Enrile,Drive,Madrid,21/04/1985,"1,71",Madrid,https://www.worldpadeltour.com/jugadores/enrique-lagarejos-blanco/,05/04/2021
477,Christian Guisado Fernández ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/christian-guisado-fernandez/,05/04/2021
478,Karim Nsouli ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/karim-nsouli/,05/04/2021
479,André Delmar ,591,1,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/andre-delmar/,05/04/2021
480,Kilian Jordan ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/kilian-jordan/,05/04/2021
481,Kalle Vainola ,432,3,1,0,1,0,0,Gabriel Loredo Almanza,Revés,LAHTI ,15/12/1971,183,Kauniainen,https://www.worldpadeltour.com/jugadores/kalle-vainola/,05/04/2021
482,Diego Rosell García,240,31,69,21,48,"30,43",2,Brandon Ethan Sfez,Revés,Puertollano,30/10/1996,"1,89",Malaga,https://www.worldpadeltour.com/jugadores/diego-rosell-garcia/,05/04/2021
483,Exequiel Mouriño ,424,3,2,1,1,50,1,Federico Mouriño,Revés,Mar del plata,29/04/1997,1.70,Burriana,https://www.worldpadeltour.com/jugadores/exequiel-mourino/,05/04/2021
484,Jorge Etcheberry Carrasco ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/jorge-etcheberry-carrasco/,05/04/2021
485,Ivan Guillermo Gallo ,432,3,0,0,0,0,0,,Drive,san andres de giles,21/01/1967,"1,74",PATERNA,https://www.worldpadeltour.com/jugadores/ivan-guillermo-gallo/,05/04/2021
486,Diego Pascual Simon Tomas,316,11,0,0,0,0,0,Jose Pedro Montalban Martin,Revés,Murcia,18/09/2002,1.76,Malaga,https://www.worldpadeltour.com/jugadores/diego-pascual-simon-tomas/,05/04/2021
487,Dimitri Huet ,424,3,3,1,2,"33,33",1,Jeremy Ritz,Revés,Boulogne Billancourt ,17/05/1985,"1,86",Boulogne Billancourt ,https://www.worldpadeltour.com/jugadores/dimitri-huet/,05/04/2021
488,Rodrigo Montoya ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/rodrigo-montoya/,05/04/2021
489,Igor Amondarain González,234,34,10,3,7,30,1,David García Campos,Drive,San Sebastian,01/04/2002,"1,68",Salamanca,https://www.worldpadeltour.com/jugadores/igor-amondarain-gonzalez/,05/04/2021
490,Ibrahim Fetov ,424,3,1,0,1,0,0,Jose Manuel Blanquez Montoya,,,29/04/1988,,,https://www.worldpadeltour.com/jugadores/ibrahim-fetov/,05/04/2021
491,Pedro Araújo ,375,5,6,0,6,0,0,Antonio María Nogueira,Revés,Lisboa ,11/03/2000,"1,80",Lisboa ,https://www.worldpadeltour.com/jugadores/pedro-araujo/,05/04/2021
492,Matthias Ederer ,375,5,1,0,1,0,0,Kristopher Sotiriu,,,20/06/1979,,,https://www.worldpadeltour.com/jugadores/matthias-ederer/,05/04/2021
493,Marcello Motta ,591,1,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/marcello-motta/,05/04/2021
494,Pedro Ríos ,424,3,4,2,2,50,2,Oscar Benejam Florit,,,01/01/0001,0,,https://www.worldpadeltour.com/jugadores/pedro-rios/,05/04/2021
495,Israel Jose Fernandez Seda ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/israel-jose-fernandez-seda/,05/04/2021
496,Raul Hernandez Peñalosa ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/raul-hernandez-penalosa/,05/04/2021
497,Johannes Lindmeyer ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/johannes-lindmeyer/,05/04/2021
498,Daniel Jalón Fernández,311,11,5,1,4,20,1,Álvaro Sacristán Ballesteros,Revés,Madrid,02/07/1984,"1,84",Madrid,https://www.worldpadeltour.com/jugadores/daniel-jalon-fernandez/,05/04/2021
499,Mattia Guerra ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/mattia-guerra/,05/04/2021
500,Francisco Alameda Robles,268,23,0,0,0,0,1,Karlos Rodríguez Vidal,Drive,Malaga,10/08/1992,"1,82",Malaga,https://www.worldpadeltour.com/jugadores/francisco-alameda-robles/,05/04/2021
501,Hamad Busamnoh ,591,1,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/hamad-busamnoh/,05/04/2021
502,Valentín Wenger ,294,14,0,0,0,0,0,Ivan Lopez Muñoz,Revés,Biel,11/02/1994,1.78,La Neuveville,https://www.worldpadeltour.com/jugadores/valentin-wenger/,05/04/2021
503,Cristian Donnet ,363,6,0,0,0,0,0,,Drive,Neuquen,22/10/1977,179,"Dubai, UAE",https://www.worldpadeltour.com/jugadores/cristian-donnet/,05/04/2021
504,Javier Romero Rodríguez,424,3,107,52,55,"48,6",6,Víctor Saenz de Navarrete,Revés,Puertollano,13/10/1983,"1,78",Puertollano,https://www.worldpadeltour.com/jugadores/javier-romero-rodriguez/,05/04/2021
505,Ionian Antonelly Carballo Hernández,358,6,8,0,8,0,0,Alberto Molina Domínguez,Revés,México D.F.,16/09/2001,"1,65",Houston (Texas) - USA,https://www.worldpadeltour.com/jugadores/ionian-antonelly-carballo-hernandez/,05/04/2021
506,David Garrido Fernández,568,1,2,0,2,0,0,Jaime Picazo Candel Picazo Candel,Revés,Murcia,29/06/1989,"1,84",Murcia,https://www.worldpadeltour.com/jugadores/david-garrido-fernandez/,05/04/2021
507,Cristian Calneggia ,258,24,140,58,82,"41,43",6,Sergio Gonzalez Martínez,Revés,Córdoba (Arg),12/06/1980,"1,73",Pamplona,https://www.worldpadeltour.com/jugadores/cristian-calneggia/,05/04/2021
508,Jose Manuel Huertas Ruiz ,379,5,0,0,0,0,0,José Carlos Bernal Rodríguez,Drive,marbella,29/11/1994,"1,74",marbella,https://www.worldpadeltour.com/jugadores/jose-manuel-huertas-ruiz/,05/04/2021
509,Fabio Beraldo ,591,1,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/fabio-beraldo/,05/04/2021
510,Pedro Carlos García-Consuegra Gutiérrez ,324,10,0,0,0,0,1,Pablo Diaz Del Guante Valentin Fernández,Revés,Madrid ,01/02/1996,"1,87",Madrid,https://www.worldpadeltour.com/jugadores/pedro-carlos-garcia-consuegra-gutierrez/,05/04/2021
511,Arnau Iñíguez Fernández,232,35,20,4,16,20,2,Sergio Borrero Fernández de La Puente,Drive,Barcelona,05/06/1999,"1,83",Alpicat - Lleida,https://www.worldpadeltour.com/jugadores/arnau-iniguez-fernandez/,05/04/2021
512,Joao Paulo Meirelles Martins ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/joao-paulo-meirelles-martins/,05/04/2021
513,Manuel Rocafort Lores,358,6,22,8,14,"36,36",2,Nicolás Suescun,Drive,Marbella - Málaga,21/05/1997,"1,70",Roma - Italia,https://www.worldpadeltour.com/jugadores/manuel-rocafort-lores/,05/04/2021
514,Julio Perez Luque,242,30,24,6,18,25,2,Francisco Arenas Gualda,Revés,Cádiz,08/06/1983,"1,71",Cádiz ,https://www.worldpadeltour.com/jugadores/julio-perez-luque/,05/04/2021
515,Eduardi Fernández Fraga,568,1,1,0,1,0,0,Pablo Olmo Villa,,,06/06/2002,,,https://www.worldpadeltour.com/jugadores/eduardi-fernandez-fraga/,05/04/2021
516,Robin Haziza ,237,33,50,15,35,30,2,Johan Bergeron,Drive,Paris,10/03/1983,"1,80",Nice,https://www.worldpadeltour.com/jugadores/robin-haziza/,05/04/2021
517,Ramon Perez Goicoechea ,591,1,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/ramon-perez-goicoechea/,05/04/2021
518,Adrian Mendez Vives,544,2,0,0,0,0,0,Ivan Lopez Muñoz,Drive,Valencia ,05/08/1993,1.80,Valencia ,https://www.worldpadeltour.com/jugadores/adrian-mendez-vives/,05/04/2021
519,Eduard Bainad Puig,338,8,142,60,82,"42,25",4,Pedro Alonso-Martínez,Revés,Barcelona,25/10/1983,"1,80",Barcelona,https://www.worldpadeltour.com/jugadores/eduard-bainad-puig/,05/04/2021
520,Zayed Abbas ,591,1,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/zayed-abbas/,05/04/2021
521,Mario Huete Hernández,268,21,19,7,12,"36,84",2,Matías Marina Artuso,Revés,Madrid,16/12/1993,"1,83",Getafe - Madrid,https://www.worldpadeltour.com/jugadores/mario-huete-hernandez/,05/04/2021
522,Antoni Josep Calafell Calero,424,3,58,29,29,50,4,Iván Navarrete Pedraza,Drive,Palma de Mallorca,09/07/1983,"1,82",Palma de Mallorca,https://www.worldpadeltour.com/jugadores/antoni-josep-calafell-calero/,05/04/2021
523,Maxime Moreau ,213,50,46,10,36,"21,74",2,Adrián Marqués Berdonce,Revés,Niza - Francia,16/07/1987,"1,83",Cannes - Francia,https://www.worldpadeltour.com/jugadores/maxime-moreau/,05/04/2021
524,Xavier Masson ,346,7,1,0,1,0,0,,,,01/01/0001,0,,https://www.worldpadeltour.com/jugadores/xavier-masson/,05/04/2021
525,Pablo Alvarez Carreiro,412,4,9,0,9,0,0,Hugo García Martínez,Drive,Orense,23/09/1991,"1,81",A Coruña,https://www.worldpadeltour.com/jugadores/pablo-alvarez-carreiro/,05/04/2021
526,Martín Castro ,591,1,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/martin-castro/,05/04/2021
527,Mauricio Andrini ,424,3,58,17,41,"29,31",2,Maxime Moreau,Drive,Pehuajo - Arg,11/04/1984,"1,80",Barcelona,https://www.worldpadeltour.com/jugadores/mauricio-andrini/,05/04/2021
528,Inzerillo Jerome ,363,6,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/inzerillo-jerome/,05/04/2021
529,Karim El Sheraai ,544,2,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/karim-el-sheraai/,05/04/2021
530,Álvaro Sacristán Ballesteros,330,9,4,0,4,0,0,Daniel Jalón Fernández,Drive,Madrid,04/11/1997,"1,76",Madrid,https://www.worldpadeltour.com/jugadores/alvaro-sacristan-ballesteros/,05/04/2021
531,Vinicius Trevisan ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/vinicius-trevisan/,05/04/2021
532,Sergio Arias Aznar,432,3,0,0,0,0,0,Antonio Borja Mulet,Drive,Caravaca de la cruz,02/03/2004,1.82,Caravaca de la cruz,https://www.worldpadeltour.com/jugadores/sergio-arias-aznar/,05/04/2021
533,Eduardo Abaitua Vazguez,268,21,2,1,1,50,1,Juan Manuel Vázquez,Drive,bilbao,20/10/1996,169,portugalete,https://www.worldpadeltour.com/jugadores/eduardo-abaitua-vazguez/,05/04/2021
534,Adrián Rodríguez Rodríguez-Manzaneque,432,3,0,0,0,0,0,Jose Maria Garcia Sanchez-Castilla,Revés,Valencia,13/03/2003,"1,80",Valencia,https://www.worldpadeltour.com/jugadores/adrian-rodriguez-rodriguez-manzaneque/,05/04/2021
535,Joel Nazareno Ventura ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/joel-nazareno-ventura/,05/04/2021
536,Eduardo Romero Rodríguez,375,5,124,61,63,"49,19",6,Antonio José Cardona Botella,Drive,Puertollano,13/10/1983,"1,78",Puertollano,https://www.worldpadeltour.com/jugadores/eduardo-romero-rodriguez/,05/04/2021
537,Julio Pulido Alegre,248,28,17,1,16,"5,88",1,Jorge Juan Gomez,Revés,El Puerto de Sta. María - Cádiz,25/05/1993,"1,89",Madrid,https://www.worldpadeltour.com/jugadores/julio-pulido-alegre/,05/04/2021
538,Luca Bassani ,544,2,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/luca-bassani/,05/04/2021
539,Matias Karelovic Rojas,379,5,0,0,0,0,0,Francisco Álvarez Tapia,Revés,Punta Arenas,20/09/2002,"1,74",Punta Arenas,https://www.worldpadeltour.com/jugadores/matias-karelovic-rojas/,05/04/2021
540,Fernando Pablo Alarcón ,424,3,1,0,1,0,0,Matías Rivera,Revés,Parana - Arg,13/03/1978,"1,71",Aventura - Florida,https://www.worldpadeltour.com/jugadores/fernando-pablo-alarcon/,05/04/2021
541,Joel Climent Subirats,375,5,22,8,14,"36,36",1,Guillem Figuerola Santiago,Drive,Tortosa - Tarragona,24/10/1990,"1,80",Cambrils ,https://www.worldpadeltour.com/jugadores/joel-climent-subirats/,05/04/2021
542,Ignacio Nicolás Regalía Beneitez,338,8,21,1,20,"4,76",1,Arnau Iñíguez Fernández,Revés,Buenos Aires - Arg,08/09/1976,"1,90",Cuenca,https://www.worldpadeltour.com/jugadores/ignacio-nicolas-regalia-beneitez/,05/04/2021
543,Hugo Lorenzo Serrano ,544,2,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/hugo-lorenzo-serrano/,05/04/2021
544,Arno De Proost ,432,3,1,0,1,0,0,Nacho Blazquez Domínguez,Drive,Bonheiden,05/01/1996,171cm,Wakkerzeel,https://www.worldpadeltour.com/jugadores/arno-de-proost/,05/04/2021
545,Enrique Gomez Mesa,568,1,1,0,1,0,0,Javier Cardenas Navas,Drive,Loja - Granada,01/07/1986,"1,82",Granada,https://www.worldpadeltour.com/jugadores/enrique-gomez-mesa/,05/04/2021
546,Brian Williams ,432,3,0,0,0,0,0,,Drive,Puerto Madryn,14/03/1988,"1,79 cm","Cancun, México ",https://www.worldpadeltour.com/jugadores/brian-williams/,05/04/2021
547,Xavier De Benito Fraile,290,14,67,26,41,"38,81",3,Víctor Saenz de Navarrete,Revés,Madrid,23/11/1992,"1,89",Madrid,https://www.worldpadeltour.com/jugadores/xavier-de-benito-fraile/,05/04/2021
548,John Larsson ,665,0,2,0,2,0,0,Christoffer Sonesson,Drive,Halmstad - Suecia,18/05/1990,"1,87",Halmstad - Suecia,https://www.worldpadeltour.com/jugadores/john-larsson/,05/04/2021
549,Franco Soria Kutscher ,263,24,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/franco-soria-kutscher/,05/04/2021
550,Goni Vera ,591,1,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/goni-vera/,05/04/2021
551,Brandon Ethan Sfez,304,13,0,0,0,0,1,Diego Rosell García,Drive,Malaga,28/03/2002,"1,80 m",Malaga,https://www.worldpadeltour.com/jugadores/brandon-ethan-sfez/,05/04/2021
552,Uriël Maarsen ,244,29,33,9,24,"27,27",2,Bram Meijer,Revés,Spijkenisse - Países Bajos,17/07/1992,"1,90",Rijswijk - Países Bajos,https://www.worldpadeltour.com/jugadores/uriel-maarsen/,05/04/2021
553,Yazan Alkassem ,568,1,1,0,1,0,0,,,,01/01/0001,0,,https://www.worldpadeltour.com/jugadores/yazan-alkassem/,05/04/2021
554,Mario Ortega Ripoll,276,19,3,1,2,"33,33",1,Alejandro Gonzalez Perez,Revés,Massamagrell,11/11/2002,1.75,Massamagrell,https://www.worldpadeltour.com/jugadores/mario-ortega-ripoll/,05/04/2021
555,Gerard Godo Ortega,338,8,25,7,18,28,1,Aitor García Bassas,Drive,Girona,23/07/1986,"1,76",Girona,https://www.worldpadeltour.com/jugadores/gerard-godo-ortega/,05/04/2021
556,Fredrik Ask ,424,3,2,0,2,0,0,Max Sjövall,Revés,Oslo,05/09/1990,184,Oslo,https://www.worldpadeltour.com/jugadores/fredrik-ask/,05/04/2021
557,Bram Meijer ,244,29,33,8,25,"24,24",3,Uriël Maarsen,Drive,Almelo - Hol,13/10/1994,"1,95",Almelo - Hol,https://www.worldpadeltour.com/jugadores/bram-meijer/,05/04/2021
558,Nicholas Frank ,419,4,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/nicholas-frank/,05/04/2021
559,Mohammad Alfalasi ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/mohammad-alfalasi/,05/04/2021
560,Wael Wahby ,544,2,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/wael-wahby/,05/04/2021
561,Jose Pedro Montalban Martin,282,17,2,0,2,0,0,Antonio José Cardona Botella,Drive,Granada ,14/05/2002,1.75,Malaga ,https://www.worldpadeltour.com/jugadores/jose-pedro-montalban-martin/,05/04/2021
562,Rafael Conde Ripoll,358,6,5,1,4,20,1,Daniel Granda González,Drive,Gijón,16/02/1993,"1,72",Gijón,https://www.worldpadeltour.com/jugadores/rafael-conde-ripoll/,05/04/2021
563,Pablo González Neria,299,13,88,37,51,"42,05",6,Luis Pozo Carballo,Drive,Plasencia,21/09/1984,"1,78",JÁVEA (ALICANTE),https://www.worldpadeltour.com/jugadores/pablo-gonzalez-neria/,05/04/2021
564,Jose Manuel Blanquez Montoya,424,3,1,0,1,0,0,Ibrahim Fetov,Revés,Almería ,21/02/1991,1.81,Suiza,https://www.worldpadeltour.com/jugadores/jose-manuel-blanquez-montoya/,05/04/2021
565,Fabio Castelli ,591,1,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/fabio-castelli/,05/04/2021
566,Ivan García Aceituno,214,49,47,14,33,"29,79",2,Daniel de Castro Bautista,Revés,Madrid,12/07/1994,"1,70",Madrid,https://www.worldpadeltour.com/jugadores/ivan-garcia-aceituno/,05/04/2021
567,Karlos Rodríguez Vidal,252,28,0,0,0,0,1,Francisco Alameda Robles,Revés,Malaga,16/02/1995,1.73,Malaga,https://www.worldpadeltour.com/jugadores/karlos-rodriguez-vidal/,05/04/2021
568,Thomas Deschamps ,304,12,5,1,4,20,1,Hugo García Martínez,Drive,"Kortrijk, Belgium",19/07/1996,1m79,"Ghent, Belgium",https://www.worldpadeltour.com/jugadores/thomas-deschamps/,05/04/2021
569,Jorge Couceiro Figueroa,290,14,26,4,22,"15,38",1,Julio Pulido Alegre,Drive,A Coruña,19/02/1995,"1,83",A Coruña,https://www.worldpadeltour.com/jugadores/jorge-couceiro-figueroa/,05/04/2021
570,Matteo Casula ,544,2,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/matteo-casula/,05/04/2021
571,Felipe Alvarez De Los Corrales Lora-Villar ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/felipe-alvarez-de-los-corrales-lora-villar/,05/04/2021
572,Mario Buzik ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/mario-buzik/,05/04/2021
573,Sergio Beracierto Gil,375,5,21,10,11,"47,62",3,Jaime Muñoz Enrile,Revés,Málaga,26/10/1981,"1,73",Alhaurín de la Torre - Málaga,https://www.worldpadeltour.com/jugadores/sergio-beracierto-gil/,05/04/2021
574,Ignacio Sager Nagel ,379,5,0,0,0,0,0,,,,28/08/1997,,,https://www.worldpadeltour.com/jugadores/ignacio-sager-nagel/,05/04/2021
575,Daniel Rodriguez De Porras ,544,2,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/daniel-rodriguez-de-porras/,05/04/2021
576,James Maughan ,591,1,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/james-maughan/,05/04/2021
577,Jorge Ferre Sainz,568,1,1,0,1,0,0,Yeray Cabota Aznar,Drive,Alcoy,10/05/2001,"1,83",Valencia ,https://www.worldpadeltour.com/jugadores/jorge-ferre-sainz/,05/04/2021
578,Vitor Meirelles Martins ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/vitor-meirelles-martins/,05/04/2021
579,Sandro Sassu ,432,3,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/sandro-sassu/,05/04/2021
580,Leo Torigino ,432,3,0,0,0,0,0,,,,01/01/2000,,,https://www.worldpadeltour.com/jugadores/leo-torigino/,05/04/2021
581,Frederick Bott ,591,1,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/frederick-bott/,05/04/2021
582,José Carlos Bernal Rodríguez,253,26,6,0,6,0,0,Jesús Espejo Sánchez,Revés,Marbella,20/12/1992,1'83,Marbella,https://www.worldpadeltour.com/jugadores/jose-carlos-bernal-rodriguez/,05/04/2021
583,Michele Notarnicola ,544,2,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/michele-notarnicola/,05/04/2021
584,Jaime Fermosell Delgado,334,9,0,0,0,0,2,Luís Ortega Pérez,,,06/12/1997,,,https://www.worldpadeltour.com/jugadores/jaime-fermosell-delgado/,05/04/2021
585,Javier Agustín Reiter ,254,25,22,10,12,"45,45",2,Alejandro Gil Muñoz,Revés,Buenos Aires - Arg,27/11/1989,"1,85",Buenos Aires - Arg,https://www.worldpadeltour.com/jugadores/javier-agustin-reiter/,05/04/2021
586,Fabián Ordoñez Bustelo,375,5,8,4,4,50,1,Julio Martínez Gutiérrez,Revés,Montevideo - Uru,24/05/1973,"1,85",Pamplona,https://www.worldpadeltour.com/jugadores/fabian-ordonez-bustelo/,05/04/2021
